chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	2460183	2461684	-	HES5	HES5	21	6.92E-2	Simul
chr1	2487077	2496821	+	TNFRSF14	TNFRSF14	29	6.45E-2	Simul
chr1	2517929	2522908	+	FAM213B	FAM213B	25	5.09E-2	Simul
chr1	2522077	2564481	-	MMEL1	MMEL1	25	4.94E-2	Simul
chr1	2567414	2718286	-	TTC34	TTC34	25	5.93E-2	Simul
chr1	2938045	2939465	+	ACTRT2	ACTRT2	26	3.35E-2	Simul
chr1	2985731	3355185	+	PRDM16	PRDM16	166	1.47E-1	Simul
chr1	3370989	3397677	+	ARHGEF16	ARHGEF16	25	6.56E-1	Simul
chr1	3406483	3528059	-	MEGF6	MEGF6	36	7.86E-1	Simul
chr1	3541565	3546691	+	TPRG1L	TPRG1L	15	6.56E-1	Simul
chr1	3547330	3569325	-	WRAP73	WRAP73	18	7.53E-1	Simul
chr1	3569083	3652765	+	TP73	TP73	46	7.77E-1	Simul
chr1	3668961	3688209	+	CCDC27	CCDC27	41	6.78E-1	Simul
chr1	3696783	3713068	-	LRRC47	LRRC47	53	7.83E-1	Simul
chr1	3728644	3773778	-	CEP104	CEP104	64	8.26E-1	Simul
chr1	3773844	3801993	+	DFFB	DFFB	43	7.06E-1	Simul
chr1	3805688	3816857	-	C1orf174	C1orf174	25	9.6E-1	Simul
chr1	4714791	4852594	+	AJAP1	AJAP1	132	3.65E-1	Simul
chr1	5922870	6052533	-	NPHP4	NPHP4	85	4.14E-1	Simul
chr1	6051525	6161253	+	KCNAB2	KCNAB2	58	1.97E-1	Simul
chr1	6161852	6240183	-	CHD5	CHD5	36	1.52E-1	Simul
chr1	6241328	6269449	-	RPL22	RPL22	24	2.24E-1	Simul
chr1	6265534	6281359	+	RNF207	RNF207	17	5.1E-2	Simul
chr1	6281252	6296032	-	ICMT	ICMT	17	9.92184069E-4	CONVERGED
chr1	6304251	6305638	+	HES3	HES3	16	1.01E-3	Simul
chr1	6307405	6321035	-	GPR153	GPR153	21	1.16E-3	Simul
chr1	6324328	6454451	-	ACOT7	ACOT7	38	1.51E-3	Simul
chr1	6472477	6484730	-	HES2	HES2	15	1.84E-2	Simul
chr1	6484847	6521430	+	ESPN	ESPN	18	2.43E-2	Simul
chr1	6521210	6526255	-	TNFRSF25	TNFRSF25	14	1.97E-2	Simul
chr1	6526151	6580121	-	PLEKHG5	PLEKHG5	30	2.73E-2	Simul
chr1	6581406	6614595	-	NOL9	NOL9	34	8.14E-1	Simul
chr1	6615240	6639817	+	TAS1R1	TAS1R1	40	8.24E-1	Simul
chr1	6640060	6649340	+	ZBTB48	ZBTB48	30	7.53E-1	Simul
chr1	6650783	6674667	-	KLHL21	KLHL21	40	5.99E-1	Simul
chr1	6673744	6684093	+	PHF13	PHF13	39	5.38E-1	Simul
chr1	6684925	6695646	+	THAP3	THAP3	41	5.24E-1	Simul
chr1	6694227	6761984	-	DNAJC11	DNAJC11	65	3.52E-1	Simul
chr1	6845383	7829766	+	CAMTA1	CAMTA1	443	1.33492389E-8	CONVERGED
chr1	7831328	7841492	+	VAMP3	VAMP3	45	2.13698659E-9	CONVERGED
chr1	7844379	7905237	+	PER3	PER3	59	2.37882847E-9	CONVERGED
chr1	7903142	7913572	-	UTS2	UTS2	37	1.60169422E-9	CONVERGED
chr1	7979906	8000926	-	TNFRSF9	TNFRSF9	24	1.28E-2	Simul
chr1	8014350	8045565	+	PARK7	PARK7	26	4.19E-3	Simul
chr1	8064463	8086368	-	ERRFI1	ERRFI1	25	2.83E-3	Simul
chr1	8377885	8404227	+	SLC45A1	SLC45A1	28	5.28E-2	Simul
chr1	8412456	8877702	-	RERE	RERE	141	1.28E-1	Simul
chr1	8921060	8939308	-	ENO1	ENO1	37	9.78E-1	Simul
chr1	9005925	9035151	+	CA6	CA6	61	1.53E-1	Simul
chr1	9063358	9086404	-	SLC2A7	SLC2A7	46	1.05E-1	Simul
chr1	9095165	9148537	-	SLC2A5	SLC2A5	54	4.68E-1	Simul
chr1	9160363	9189229	-	GPR157	GPR157	44	4.74E-1	Simul
chr1	9294833	9331396	+	H6PD	H6PD	43	3.73E-2	Simul
chr1	9352938	9429591	+	SPSB1	SPSB1	60	5.72E-2	Simul
chr1	9599540	9645237	+	SLC25A33	SLC25A33	18	2.08E-2	Simul
chr1	9648931	9674935	+	TMEM201	TMEM201	24	3.09E-2	Simul
chr1	9711789	9789172	+	PIK3CD	PIK3CD	28	1.63E-1	Simul
chr1	9712667	9714644	-	C1orf200	C1orf200	18	1.04E-1	Simul
chr1	9789083	9884584	-	CLSTN1	CLSTN1	31	7.12E-2	Simul
chr1	9908333	9970394	-	CTNNBIP1	CTNNBIP1	28	7.37E-1	Simul
chr1	9982172	10003465	-	LZIC	LZIC	19	5.99E-1	Simul
chr1	10003485	10045559	+	NMNAT1	NMNAT1	19	7.14E-1	Simul
chr1	10057263	10076078	+	RBP7	RBP7	13	8.77E-1	Simul
chr1	10092889	10241297	+	UBE4B	UBE4B	30	6.88E-1	Simul
chr1	10270862	10441661	+	KIF1B	KIF1B	76	6.52E-1	Simul
chr1	10458648	10480201	+	PGD	PGD	35	5.85E-1	Simul
chr1	10490158	10512210	+	APITD1-CORT	APITD1-CORT	34	3.02E-2	Simul
chr1	10509775	10511959	+	CORT	CORT	27	2.69E-2	Simul
chr1	10516578	10532583	-	DFFA	DFFA	43	1.07E-2	Simul
chr1	10532344	10690815	+	PEX14	PEX14	94	1.73E-2	Simul
chr1	10696660	10856707	-	CASZ1	CASZ1	56	2.96E-1	Simul
chr1	11006527	11042094	-	C1orf127	C1orf127	42	4.46E-1	Simul
chr1	11072413	11085796	+	TARDBP	TARDBP	31	2.18E-1	Simul
chr1	11086579	11107290	-	MASP2	MASP2	24	1.56E-1	Simul
chr1	11114640	11120081	-	SRM	SRM	19	1.005E-1	Simul
chr1	11126674	11159938	-	EXOSC10	EXOSC10	21	8.46E-2	Simul
chr1	11166591	11322564	-	MTOR	MTOR	32	2.77E-1	Simul
chr1	11249397	11256038	+	ANGPTL7	ANGPTL7	16	1.88E-1	Simul
chr1	11333262	11356106	+	UBIAD1	UBIAD1	19	4.81E-1	Simul
chr1	11539222	11597641	+	PTCHD2	PTCHD2	57	1.98E-1	Simul
chr1	11708423	11715842	-	FBXO2	FBXO2	26	5.91E-1	Simul
chr1	11714431	11723384	+	FBXO44	FBXO44	27	5.88E-1	Simul
chr1	11724180	11734411	+	FBXO6	FBXO6	30	6.56E-1	Simul
chr1	11734536	11751707	-	MAD2L2	MAD2L2	28	6.51E-1	Simul
chr1	11751785	11785914	+	DRAXIN	DRAXIN	38	7.58E-1	Simul
chr1	11796140	11814859	+	AGTRAP	AGTRAP	54	8.34E-1	Simul
chr1	11821843	11849642	+	C1orf167	C1orf167	70	7.99E-1	Simul
chr1	11845779	11866977	-	MTHFR	MTHFR	77	7.67E-1	Simul
chr1	11866206	11903201	+	CLCN6	CLCN6	85	7.61E-1	Simul
chr1	11905765	11908402	-	NPPA	NPPA	65	7.47E-1	Simul
chr1	11917520	11918988	-	NPPB	NPPB	51	2.96E-1	Simul
chr1	11979647	11986485	-	KIAA2013	KIAA2013	40	2.79E-1	Simul
chr1	11994261	12035595	+	PLOD1	PLOD1	46	2.72E-1	Simul
chr1	12040237	12073571	+	MFN2	MFN2	33	4.33E-1	Simul
chr1	12079522	12092102	+	MIIP	MIIP	21	2.8E-1	Simul
chr1	12123433	12204264	+	TNFRSF8	TNFRSF8	40	5.23E-1	Simul
chr1	12227059	12269285	+	TNFRSF1B	TNFRSF1B	29	7.15E-1	Simul
chr1	12290123	12572099	+	VPS13D	VPS13D	53	7.16E-1	Simul
chr1	12627938	12677737	-	DHRS3	DHRS3	37	1.23E-3	Simul
chr1	12704565	12727097	+	AADACL4	AADACL4	22	8.32618864E-4	CONVERGED
chr1	12776117	12788726	+	AADACL3	AADACL3	47	8.6E-1	Simul
chr1	12806162	12823847	+	C1orf158	C1orf158	44	8.45E-1	Simul
chr1	12834983	12838049	+	PRAMEF12	PRAMEF12	34	7.35E-1	Simul
chr1	12851545	12856777	+	PRAMEF1	PRAMEF1	20	6.78E-1	Simul
chr1	12884467	12891264	-	PRAMEF11	PRAMEF11	3	3.48E-1	Simul
chr1	12907260	12908578	-	HNRNPCL1	HNRNPCL1	1	1.68E-1	Simul
chr1	12916940	12921764	+	PRAMEF2	PRAMEF2	1	1.78E-1	Simul
chr1	13736906	13747803	+	PRAMEF20	PRAMEF20	13	8.61E-2	Simul
chr1	13801444	13840543	-	LRRC38	LRRC38	56	4.68E-2	Simul
chr1	13909959	13944452	+	PDPN	PDPN	64	6.09E-1	Simul
chr1	14026692	14151574	+	PRDM2	PRDM2	77	1.09E-1	Simul
chr1	14925199	15444539	+	KAZN	KAZN	247	6E-1	Simul
chr1	15479027	15546976	+	TMEM51	TMEM51	104	4.14E-1	Simul
chr1	15490839	15497813	-	C1orf195	C1orf195	78	3.32E-1	Simul
chr1	15573767	15726779	+	FHAD1	FHAD1	105	8.82E-3	Simul
chr1	15736390	15756839	+	EFHD2	EFHD2	30	3.42E-3	Simul
chr1	15764934	15775737	+	CTRC	CTRC	33	3.74E-3	Simul
chr1	15783222	15798586	+	CELA2A	CELA2A	38	5.46E-2	Simul
chr1	15792403	15817895	+	CELA2B	CELA2B	46	5.51E-2	Simul
chr1	15817326	15853029	-	CASP9	CASP9	50	4.64E-2	Simul
chr1	15853307	15918874	+	DNAJC16	DNAJC16	58	3.1E-2	Simul
chr1	15898847	15911605	-	AGMAT	AGMAT	33	2.94E-2	Simul
chr1	15943994	15995539	+	DDI2	DDI2	44	3.54E-2	Simul
chr1	15986363	15988217	+	RSC1A1	RSC1A1	27	2.42E-2	Simul
chr1	16010826	16061264	+	PLEKHM2	PLEKHM2	49	6.68E-2	Simul
chr1	16062899	16067891	+	SLC25A34	SLC25A34	34	9.23E-2	Simul
chr1	16083101	16113089	+	FBLIM1	FBLIM1	42	1.47E-1	Simul
chr1	16174358	16266955	+	SPEN	SPEN	58	3.33E-1	Simul
chr1	16268363	16302627	-	ZBTB17	ZBTB17	54	4.36E-1	Simul
chr1	16330730	16335302	+	C1orf64	C1orf64	43	1.71E-1	Simul
chr1	16340522	16346089	-	HSPB7	HSPB7	42	2.85E-2	Simul
chr1	16345369	16360545	+	CLCNKA	CLCNKA	43	3.14E-2	Simul
chr1	16370271	16383803	+	CLCNKB	CLCNKB	37	2.85E-2	Simul
chr1	16384263	16400127	-	FAM131C	FAM131C	35	3.04E-2	Simul
chr1	16450831	16482582	-	EPHA2	EPHA2	46	2.89E-1	Simul
chr1	16524348	16539104	-	ARHGEF19	ARHGEF19	39	2.51E-1	Simul
chr1	16555367	16556038	-	C1orf134	C1orf134	31	2.04E-1	Simul
chr1	16558194	16563657	-	RSG1	RSG1	29	2.3E-1	Simul
chr1	16573333	16678949	-	FBXO42	FBXO42	47	2.6E-1	Simul
chr1	16679069	16724640	+	SZRD1	SZRD1	28	2.98E-1	Simul
chr1	16713611	16763919	-	SPATA21	SPATA21	33	3.19E-1	Simul
chr1	16767166	16786573	+	NECAP2	NECAP2	23	2.82E-1	Simul
chr1	17066767	17299474	+	CROCC	CROCC	21	9.35E-1	Simul
chr1	17300996	17307330	-	MFAP2	MFAP2	21	9.52E-1	Simul
chr1	17312452	17338423	-	ATP13A2	ATP13A2	40	9.79E-1	Simul
chr1	17345216	17380665	-	SDHB	SDHB	80	5.01E-1	Simul
chr1	17393255	17445948	-	PADI2	PADI2	81	4.82E-1	Simul
chr1	17531620	17572500	+	PADI1	PADI1	81	3.22E-1	Simul
chr1	17575592	17610728	+	PADI3	PADI3	76	5.55E-1	Simul
chr1	17634689	17690499	+	PADI4	PADI4	90	5.51E-1	Simul
chr1	17733255	17766220	-	RCC2	RCC2	52	3.02E-1	Simul
chr1	17866329	18024369	+	ARHGEF10L	ARHGEF10L	58	4.68E-1	Simul
chr1	18081807	18153558	+	ACTL8	ACTL8	52	3.83E-1	Simul
chr1	18434239	18704977	+	IGSF21	IGSF21	189	5.56E-1	Simul
chr1	18807423	18812478	+	KLHDC7A	KLHDC7A	81	3.9E-2	Simul
chr1	18957499	19075360	+	PAX7	PAX7	81	7.51E-1	Simul
chr1	19197925	19229275	-	ALDH4A1	ALDH4A1	25	1.4E-1	Simul
chr1	19230774	19283180	-	IFFO2	IFFO2	24	9.01E-2	Simul
chr1	19400999	19536770	-	UBR4	UBR4	86	4.55E-1	Simul
chr1	19542157	19578046	-	EMC1	EMC1	46	4.65E-1	Simul
chr1	19578032	19586622	+	MRTO4	MRTO4	35	4.6E-1	Simul
chr1	19592475	19600688	-	AKR7L	AKR7L	36	4.95E-1	Simul
chr1	19609051	19615744	-	AKR7A3	AKR7A3	34	1.87E-1	Simul
chr1	19630458	19638640	-	AKR7A2	AKR7A2	47	2.15E-1	Simul
chr1	19638819	19655794	+	PQLC2	PQLC2	46	2.01E-1	Simul
chr1	19665266	19812066	-	CAPZB	CAPZB	129	1.28E-1	Simul
chr1	19923472	19984549	+	MINOS1-NBL1	MINOS1-NBL1	51	8.58E-1	Simul
chr1	19923476	19956314	+	MINOS1	MINOS1	39	8.3E-1	Simul
chr1	19967047	19984945	+	NBL1	NBL1	40	8.84E-1	Simul
chr1	19991779	20006055	+	HTR6	HTR6	43	9.48E-1	Simul
chr1	20008705	20126438	-	TMCO4	TMCO4	73	6.13E-1	Simul
chr1	20140522	20141771	-	RNF186	RNF186	39	2.95E-1	Simul
chr1	20209005	20239438	+	OTUD3	OTUD3	50	3.54E-2	Simul
chr1	20246501	20250110	-	PLA2G2E	PLA2G2E	40	1.46E-2	Simul
chr1	20301924	20306932	-	PLA2G2A	PLA2G2A	24	9.55E-3	Simul
chr1	20354671	20417683	+	PLA2G5	PLA2G5	39	3.98E-1	Simul
chr1	20438431	20446050	-	PLA2G2D	PLA2G2D	40	3.75E-1	Simul
chr1	20465818	20476879	+	PLA2G2F	PLA2G2F	30	2.87E-1	Simul
chr1	20487745	20503917	-	PLA2G2C	PLA2G2C	30	2.24E-1	Simul
chr1	20512577	20522541	+	UBXN10	UBXN10	38	2.53E-1	Simul
chr1	20617411	20681387	+	VWA5B1	VWA5B1	109	4.74E-2	Simul
chr1	20808883	20812713	-	CAMK2N1	CAMK2N1	38	4.87E-1	Simul
chr1	20825942	20834654	-	MUL1	MUL1	43	5.34E-1	Simul
chr1	20878931	20881512	+	FAM43B	FAM43B	52	8.98E-1	Simul
chr1	20915440	20945401	+	CDA	CDA	83	5.92E-1	Simul
chr1	20959947	20978004	+	PINK1	PINK1	58	4.66E-1	Simul
chr1	20978269	20988000	-	DDOST	DDOST	54	4.04E-1	Simul
chr1	20990506	21044510	-	KIF17	KIF17	67	4.72E-1	Simul
chr1	21046224	21059330	-	SH2D5	SH2D5	34	3.52E-1	Simul
chr1	21069153	21113816	-	HP1BP3	HP1BP3	38	2.89E-1	Simul
chr1	21132962	21503377	-	EIF4G3	EIF4G3	76	5.74E-1	Simul
chr1	21543739	21671997	-	ECE1	ECE1	85	1.93E-1	Simul
chr1	21766620	21811498	+	NBPF3	NBPF3	32	3.52E-1	Simul
chr1	21835857	21904905	+	ALPL	ALPL	91	1.21E-2	Simul
chr1	21922707	21995801	-	RAP1GAP	RAP1GAP	96	1.35E-2	Simul
chr1	22004790	22110099	-	USP48	USP48	75	2.42E-2	Simul
chr1	22138757	22151714	+	LDLRAD2	LDLRAD2	28	4.95E-2	Simul
chr1	22148737	22263790	-	HSPG2	HSPG2	57	6.76E-2	Simul
chr1	22303513	22325135	+	CELA3B	CELA3B	30	3.67E-1	Simul
chr1	22328148	22339032	+	CELA3A	CELA3A	27	7.86E-1	Simul
chr1	22379119	22419437	+	CDC42	CDC42	34	7.44E-1	Simul
chr1	22443797	22470462	-	WNT4	WNT4	52	2.24E-1	Simul
chr1	22778343	22857650	+	ZBTB40	ZBTB40	51	1.8E-1	Simul
chr1	22890056	22930087	+	EPHA8	EPHA8	46	7.3E-1	Simul
chr1	22962998	22966101	+	C1QA	C1QA	47	7.33E-1	Simul
chr1	22970122	22974603	+	C1QC	C1QC	46	8E-1	Simul
chr1	22979254	22988031	+	C1QB	C1QB	42	7.87E-1	Simul
chr1	23037331	23241818	+	EPHB2	EPHB2	107	5.71E-1	Simul
chr1	23345940	23410182	+	KDM1A	KDM1A	29	1.46E-1	Simul
chr1	23410515	23504301	-	LUZP1	LUZP1	54	2.07E-1	Simul
chr1	23516992	23521222	-	HTR1D	HTR1D	35	1.97E-1	Simul
chr1	23630263	23670829	-	HNRNPR	HNRNPR	36	1.2E-1	Simul
chr1	23685940	23695935	-	ZNF436	ZNF436	31	4.72E-1	Simul
chr1	23695489	23698332	+	C1orf213	C1orf213	31	4.71E-1	Simul
chr1	23707553	23751233	-	TCEA3	TCEA3	43	5.12E-1	Simul
chr1	23755055	23811061	-	ASAP3	ASAP3	36	3.1E-1	Simul
chr1	23832921	23857712	-	E2F2	E2F2	28	2.19E-2	Simul
chr1	23884408	23886285	-	ID3	ID3	27	2.01E-2	Simul
chr1	23907984	23967058	+	MDS2	MDS2	47	3.14E-2	Simul
chr1	24018268	24022915	+	RPL11	RPL11	27	9.97E-1	Simul
chr1	24069644	24088549	+	TCEB3	TCEB3	26	9.13E-1	Simul
chr1	24104894	24114722	+	PITHD1	PITHD1	21	7.81E-1	Simul
chr1	24117459	24122029	+	LYPLA2	LYPLA2	20	7.9E-1	Simul
chr1	24122088	24127271	-	GALE	GALE	20	7.59E-1	Simul
chr1	24128374	24165110	-	HMGCL	HMGCL	21	7.78E-1	Simul
chr1	24171566	24194784	-	FUCA1	FUCA1	14	6.5E-1	Simul
chr1	24197015	24285549	-	CNR2	CNR2	8	5.57E-1	Simul
chr1	24382524	24438665	-	MYOM3	MYOM3	81	9.66E-2	Simul
chr1	24480646	24514449	-	IFNLR1	IFNLR1	55	3.13E-2	Simul
chr1	24645811	24690972	+	GRHL3	GRHL3	60	3.94E-2	Simul
chr1	24683488	24743424	-	STPG1	STPG1	74	4.08E-2	Simul
chr1	24742283	24799466	+	NIPAL3	NIPAL3	62	8.51E-1	Simul
chr1	24829386	24867530	+	RCAN3	RCAN3	43	5.65E-1	Simul
chr1	24882601	24935819	+	NCMAP	NCMAP	43	5.34E-1	Simul
chr1	24958206	24999758	+	SRRM1	SRRM1	22	5.09E-1	Simul
chr1	25071847	25170815	+	CLIC4	CLIC4	51	7.8E-1	Simul
chr1	25226001	25291612	-	RUNX3	RUNX3	91	5.58E-2	Simul
chr1	25549169	25558993	-	SYF2	SYF2	6	8.57E-1	Simul
chr1	25568727	25664704	-	C1orf63	C1orf63	8	8.8E-1	Simul
chr1	25598883	25656936	+	RHD	RHD	4	8.14E-1	Simul
chr1	25664407	25688852	+	TMEM50A	TMEM50A	3	6.93E-1	Simul
chr1	25688739	25756683	-	RHCE	RHCE	8	7.79E-1	Simul
chr1	25757387	25826700	+	TMEM57	TMEM57	5	6.93E-1	Simul
chr1	25870070	25895377	+	LDLRAP1	LDLRAP1	12	3.81E-1	Simul
chr1	25943958	26112698	+	MAN1C1	MAN1C1	67	8.73E-1	Simul
chr1	26126666	26144713	+	SEPN1	SEPN1	38	8.09E-1	Simul
chr1	26145130	26159432	+	MTFR1L	MTFR1L	35	6.79E-1	Simul
chr1	26158413	26185903	-	AUNIP	AUNIP	37	6.58E-1	Simul
chr1	26187700	26197744	-	PAQR7	PAQR7	28	9.02E-1	Simul
chr1	26210671	26233482	-	STMN1	STMN1	35	2.88E-1	Simul
chr1	26286257	26324648	-	PAFAH2	PAFAH2	41	4.31E-2	Simul
chr1	26346374	26362955	+	EXTL1	EXTL1	39	3.83E-2	Simul
chr1	26363742	26372624	-	SLC30A2	SLC30A2	32	4.47E-2	Simul
chr1	26377794	26394927	-	TRIM63	TRIM63	28	4.04E-2	Simul
chr1	26437663	26452034	+	PDIK1L	PDIK1L	30	3.96E-1	Simul
chr1	26485510	26489119	+	FAM110D	FAM110D	44	6.41E-1	Simul
chr1	26496361	26498551	+	ZNF593	ZNF593	44	6.5E-1	Simul
chr1	26503893	26516377	+	CNKSR1	CNKSR1	46	6.56E-1	Simul
chr1	26517051	26529459	+	CATSPER4	CATSPER4	51	6.62E-1	Simul
chr1	26560690	26605299	+	CEP85	CEP85	77	6.64E-1	Simul
chr1	26605666	26608007	+	SH3BGRL3	SH3BGRL3	57	6.82E-1	Simul
chr1	26607818	26644854	-	UBXN11	UBXN11	83	7.8E-1	Simul
chr1	26644447	26647014	+	CD52	CD52	67	8.04E-1	Simul
chr1	26648349	26680621	-	AIM1L	AIM1L	78	6.03E-1	Simul
chr1	26688124	26701013	-	ZNF683	ZNF683	68	5.98E-2	Simul
chr1	26737268	26756213	+	LIN28A	LIN28A	52	5.18E-2	Simul
chr1	26758772	26797785	+	DHDDS	DHDDS	43	4.3E-2	Simul
chr1	26798940	26802463	+	HMGN2	HMGN2	26	7.43E-2	Simul
chr1	26856251	26901521	+	RPS6KA1	RPS6KA1	30	7.32E-3	Simul
chr1	27022523	27108595	+	ARID1A	ARID1A	17	1.019E-2	Simul
chr1	27113962	27124889	+	PIGV	PIGV	10	5.63E-2	Simul
chr1	27153200	27184093	+	ZDHHC18	ZDHHC18	14	6.56E-2	Simul
chr1	27189632	27190947	+	SFN	SFN	15	7.22E-2	Simul
chr1	27202623	27216788	-	GPN2	GPN2	18	7.47E-2	Simul
chr1	27216978	27226957	-	GPATCH3	GPATCH3	16	6.78E-2	Simul
chr1	27226728	27273353	+	NUDC	NUDC	18	6.85E-2	Simul
chr1	27237979	27240457	-	NR0B2	NR0B2	14	6.2E-2	Simul
chr1	27276052	27286897	-	C1orf172	C1orf172	12	8.63E-2	Simul
chr1	27320197	27327389	+	TRNP1	TRNP1	10	5.64E-2	Simul
chr1	27331510	27339327	-	FAM46B	FAM46B	10	6.18E-2	Simul
chr1	27425305	27493472	-	SLC9A1	SLC9A1	26	2.23E-1	Simul
chr1	27561006	27635110	+	WDTC1	WDTC1	23	1.68E-1	Simul
chr1	27648650	27662891	+	TMEM222	TMEM222	19	1.33E-1	Simul
chr1	27668512	27680421	+	SYTL1	SYTL1	20	1.42E-1	Simul
chr1	27681674	27693383	-	MAP3K6	MAP3K6	21	6.78E-1	Simul
chr1	27695602	27701315	-	FCN3	FCN3	22	6.74E-1	Simul
chr1	27705665	27709870	-	CD164L2	CD164L2	24	6.6E-1	Simul
chr1	27719147	27722318	+	GPR3	GPR3	23	6.34E-1	Simul
chr1	27730729	27816669	-	WASF2	WASF2	34	6.3E-1	Simul
chr1	27860545	27930942	-	AHDC1	AHDC1	10	6.27E-1	Simul
chr1	27938574	27961788	-	FGR	FGR	5	8.21E-1	Simul
chr1	27992571	27998729	-	IFI6	IFI6	3	7.14E-1	Simul
chr1	28052489	28089633	+	FAM76A	FAM76A	1	7.48E-1	Simul
chr1	28099693	28150963	+	STX12	STX12	1	7.99E-1	Simul
chr1	28157288	28178187	+	PPP1R8	PPP1R8	17	4.46E-1	Simul
chr1	28177084	28177255	-	AL109927.1	AL109927.1	16	4.16E-1	Simul
chr1	28199054	28213196	+	THEMIS2	THEMIS2	23	5.3E-1	Simul
chr1	28218034	28241257	-	RPA2	RPA2	38	3.74E-1	Simul
chr1	28261503	28285668	+	SMPDL3B	SMPDL3B	39	1.15E-1	Simul
chr1	28285972	28294607	+	XKR8	XKR8	28	1.23E-1	Simul
chr1	28296854	28415207	-	EYA3	EYA3	52	8.32E-2	Simul
chr1	28473676	28520447	-	PTAFR	PTAFR	30	4.72E-2	Simul
chr1	28525966	28559536	-	DNAJC8	DNAJC8	28	2.82E-1	Simul
chr1	28562619	28573417	+	ATPIF1	ATPIF1	26	2.24E-1	Simul
chr1	28586037	28609002	+	SESN2	SESN2	29	3.62E-1	Simul
chr1	28655512	28662476	+	MED18	MED18	12	3.87E-1	Simul
chr1	28696113	28826881	+	PHACTR4	PHACTR4	23	2.86E-1	Simul
chr1	28832454	28865812	+	RCC1	RCC1	15	2.11E-1	Simul
