chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	10532344	10690815	+	PEX14	PEX14	11	7.89E-1	Simul
chr1	10696660	10856707	-	CASZ1	CASZ1	14	2.45E-1	Simul
chr1	11072413	11085796	+	TARDBP	TARDBP	4	3.06E-3	Simul
chr1	11086579	11107290	-	MASP2	MASP2	4	3.21E-3	Simul
chr1	11114640	11120081	-	SRM	SRM	4	3.29E-3	Simul
chr1	11126674	11159938	-	EXOSC10	EXOSC10	4	3.12E-3	Simul
chr1	11166591	11322564	-	MTOR	MTOR	6	5.21447103E-4	CONVERGED
chr1	11249397	11256038	+	ANGPTL7	ANGPTL7	2	2.27164418E-4	CONVERGED
chr1	11333262	11356106	+	UBIAD1	UBIAD1	3	2.1E-3	Simul
chr1	11734536	11751707	-	MAD2L2	MAD2L2	12	4.77E-1	Simul
chr1	11751785	11785914	+	DRAXIN	DRAXIN	62	5.72E-1	Simul
chr1	11796140	11814859	+	AGTRAP	AGTRAP	127	1.83E-1	Simul
chr1	11821843	11849642	+	C1orf167	C1orf167	187	2.09E-1	Simul
chr1	11845779	11866977	-	MTHFR	MTHFR	203	2.1E-1	Simul
chr1	11866206	11903201	+	CLCN6	CLCN6	226	2.22E-1	Simul
chr1	11905765	11908402	-	NPPA	NPPA	150	2.15E-1	Simul
chr1	11917520	11918988	-	NPPB	NPPB	142	2.15E-1	Simul
chr1	11979647	11986485	-	KIAA2013	KIAA2013	59	8.61E-1	Simul
chr1	11994261	12035595	+	PLOD1	PLOD1	40	7.67E-1	Simul
chr1	12040237	12073571	+	MFN2	MFN2	2	4.11E-1	Simul
chr1	12079522	12092102	+	MIIP	MIIP	2	4.55E-1	Simul
chr1	12123433	12204264	+	TNFRSF8	TNFRSF8	23	8.86E-1	Simul
chr1	12227059	12269285	+	TNFRSF1B	TNFRSF1B	30	9.42E-1	Simul
chr1	12290123	12572099	+	VPS13D	VPS13D	25	9.17E-1	Simul
chr1	12627938	12677737	-	DHRS3	DHRS3	4	6.46E-1	Simul
chr1	12704565	12727097	+	AADACL4	AADACL4	5	2.04E-1	Simul
chr1	12776117	12788726	+	AADACL3	AADACL3	5	1.83E-1	Simul
chr1	12806162	12823847	+	C1orf158	C1orf158	4	1.44E-1	Simul
chr1	12834983	12838049	+	PRAMEF12	PRAMEF12	1	3.59E-1	Simul
chr1	13736906	13747803	+	PRAMEF20	PRAMEF20	2	4.95E-1	Simul
chr1	13801444	13840543	-	LRRC38	LRRC38	5	8.35E-1	Simul
chr1	13909959	13944452	+	PDPN	PDPN	3	6.44E-1	Simul
chr1	14026692	14151574	+	PRDM2	PRDM2	6	5.71E-1	Simul
chr1	14925199	15444539	+	KAZN	KAZN	14	3.1E-2	Simul
chr1	15479027	15546976	+	TMEM51	TMEM51	1	7.18E-1	Simul
chr1	15490839	15497813	-	C1orf195	C1orf195	1	7.06E-1	Simul
chr1	15573767	15726779	+	FHAD1	FHAD1	5	3.61E-1	Simul
chr1	15736390	15756839	+	EFHD2	EFHD2	6	3.86E-1	Simul
chr1	15764934	15775737	+	CTRC	CTRC	7	4.28E-1	Simul
chr1	15783222	15798586	+	CELA2A	CELA2A	4	3.91E-1	Simul
chr1	15792403	15817895	+	CELA2B	CELA2B	4	3.7E-1	Simul
chr1	15817326	15853029	-	CASP9	CASP9	4	4.03E-1	Simul
chr1	15853307	15918874	+	DNAJC16	DNAJC16	1	4.41E-1	Simul
chr1	15943994	15995539	+	DDI2	DDI2	1	9.1E-2	Simul
chr1	16010826	16061264	+	PLEKHM2	PLEKHM2	2	1.55E-1	Simul
chr1	16062899	16067891	+	SLC25A34	SLC25A34	2	1.54E-1	Simul
chr1	16083101	16113089	+	FBLIM1	FBLIM1	6	2.37E-1	Simul
chr1	16174358	16266955	+	SPEN	SPEN	6	1.17E-1	Simul
chr1	16268363	16302627	-	ZBTB17	ZBTB17	3	1.62E-1	Simul
chr1	16330730	16335302	+	C1orf64	C1orf64	4	1.96E-1	Simul
chr1	16340522	16346089	-	HSPB7	HSPB7	4	2.05E-1	Simul
chr1	16345369	16360545	+	CLCNKA	CLCNKA	4	2.11E-1	Simul
chr1	16370271	16383803	+	CLCNKB	CLCNKB	3	2.58E-1	Simul
chr1	16384263	16400127	-	FAM131C	FAM131C	4	2.9E-1	Simul
chr1	16450831	16482582	-	EPHA2	EPHA2	4	4.58E-1	Simul
chr1	16524348	16539104	-	ARHGEF19	ARHGEF19	3	4.14E-1	Simul
chr1	16555367	16556038	-	C1orf134	C1orf134	3	4.17E-1	Simul
chr1	16558194	16563657	-	RSG1	RSG1	3	4.16E-1	Simul
chr1	16573333	16678949	-	FBXO42	FBXO42	3	4.01E-1	Simul
chr1	16679069	16724640	+	SZRD1	SZRD1	3	3.86E-1	Simul
chr1	16713611	16763919	-	SPATA21	SPATA21	3	3.76E-1	Simul
chr1	16767166	16786573	+	NECAP2	NECAP2	2	6.4E-1	Simul
chr1	17066767	17299474	+	CROCC	CROCC	10	4.42E-1	Simul
chr1	17300996	17307330	-	MFAP2	MFAP2	9	4.11E-1	Simul
chr1	17312452	17338423	-	ATP13A2	ATP13A2	12	4.8E-1	Simul
chr1	17345216	17380665	-	SDHB	SDHB	12	5.41E-1	Simul
chr1	17393255	17445948	-	PADI2	PADI2	6	8.12E-1	Simul
chr1	17531620	17572500	+	PADI1	PADI1	5	5.81E-1	Simul
chr1	17575592	17610728	+	PADI3	PADI3	6	6.25E-1	Simul
chr1	17634689	17690499	+	PADI4	PADI4	6	3.92E-1	Simul
chr1	17733255	17766220	-	RCC2	RCC2	5	2.65E-1	Simul
chr1	17866329	18024369	+	ARHGEF10L	ARHGEF10L	5	2.22E-1	Simul
chr1	18081807	18153558	+	ACTL8	ACTL8	1	5.61E-1	Simul
chr1	18434239	18704977	+	IGSF21	IGSF21	12	7.25E-1	Simul
chr1	18807423	18812478	+	KLHDC7A	KLHDC7A	2	1E-1	Simul
chr1	18957499	19075360	+	PAX7	PAX7	3	4.8E-1	Simul
chr1	19197925	19229275	-	ALDH4A1	ALDH4A1	1	3.11E-1	Simul
chr1	19400999	19536770	-	UBR4	UBR4	6	2.66E-1	Simul
chr1	19542157	19578046	-	EMC1	EMC1	7	3.22E-1	Simul
chr1	19578032	19586622	+	MRTO4	MRTO4	6	5.62E-1	Simul
chr1	19592475	19600688	-	AKR7L	AKR7L	6	5.91E-1	Simul
chr1	19609051	19615744	-	AKR7A3	AKR7A3	5	5.06E-1	Simul
chr1	19630458	19638640	-	AKR7A2	AKR7A2	4	7.04E-1	Simul
chr1	19638819	19655794	+	PQLC2	PQLC2	3	5.77E-1	Simul
chr1	19665266	19812066	-	CAPZB	CAPZB	6	7.86E-1	Simul
chr1	19923472	19984549	+	MINOS1-NBL1	MINOS1-NBL1	3	5.31E-1	Simul
chr1	19923476	19956314	+	MINOS1	MINOS1	3	5.05E-1	Simul
chr1	19967047	19984945	+	NBL1	NBL1	2	7.17E-1	Simul
chr1	19991779	20006055	+	HTR6	HTR6	2	6.49E-1	Simul
chr1	20008705	20126438	-	TMCO4	TMCO4	4	8.76E-1	Simul
chr1	20140522	20141771	-	RNF186	RNF186	2	7.06E-1	Simul
chr1	20209005	20239438	+	OTUD3	OTUD3	2	6.42E-1	Simul
chr1	20246501	20250110	-	PLA2G2E	PLA2G2E	2	6.25E-1	Simul
chr1	20301924	20306932	-	PLA2G2A	PLA2G2A	4	6.25E-1	Simul
chr1	20354671	20417683	+	PLA2G5	PLA2G5	2	9.93E-2	Simul
chr1	20438431	20446050	-	PLA2G2D	PLA2G2D	1	5.3E-2	Simul
chr1	20465818	20476879	+	PLA2G2F	PLA2G2F	1	3.95E-1	Simul
chr1	20487745	20503917	-	PLA2G2C	PLA2G2C	4	2.54E-1	Simul
chr1	20512577	20522541	+	UBXN10	UBXN10	5	2.95E-1	Simul
chr1	20617411	20681387	+	VWA5B1	VWA5B1	9	4.25E-3	Simul
chr1	20808883	20812713	-	CAMK2N1	CAMK2N1	1	5.93E-1	Simul
chr1	20825942	20834654	-	MUL1	MUL1	2	6.94E-1	Simul
chr1	20878931	20881512	+	FAM43B	FAM43B	2	4.31E-1	Simul
chr1	20915440	20945401	+	CDA	CDA	4	6.75E-1	Simul
chr1	20959947	20978004	+	PINK1	PINK1	7	8.02E-1	Simul
chr1	20978269	20988000	-	DDOST	DDOST	7	8.31E-1	Simul
chr1	20990506	21044510	-	KIF17	KIF17	7	8.01E-1	Simul
chr1	21046224	21059330	-	SH2D5	SH2D5	6	7.23E-1	Simul
chr1	21069153	21113816	-	HP1BP3	HP1BP3	5	9.07E-1	Simul
chr1	21132962	21503377	-	EIF4G3	EIF4G3	5	5.66E-1	Simul
chr1	21543739	21671997	-	ECE1	ECE1	5	5.92E-1	Simul
chr1	21766620	21811498	+	NBPF3	NBPF3	6	3.52E-1	Simul
chr1	21835857	21904905	+	ALPL	ALPL	5	3.39E-1	Simul
chr1	21922707	21995801	-	RAP1GAP	RAP1GAP	2	2.95E-1	Simul
chr1	22004790	22110099	-	USP48	USP48	4	3.14E-1	Simul
chr1	22138757	22151714	+	LDLRAD2	LDLRAD2	4	3.05E-1	Simul
chr1	22148737	22263790	-	HSPG2	HSPG2	5	3.97E-1	Simul
chr1	22303513	22325135	+	CELA3B	CELA3B	2	8.61E-1	Simul
chr1	22328148	22339032	+	CELA3A	CELA3A	2	8.6E-1	Simul
chr1	22379119	22419437	+	CDC42	CDC42	1	6.99E-1	Simul
chr1	22443797	22470462	-	WNT4	WNT4	4	2.16E-1	Simul
chr1	22778343	22857650	+	ZBTB40	ZBTB40	2	8.81E-1	Simul
chr1	22890056	22930087	+	EPHA8	EPHA8	1	8.49E-1	Simul
chr1	22962998	22966101	+	C1QA	C1QA	2	9.31E-1	Simul
chr1	22970122	22974603	+	C1QC	C1QC	2	9.26E-1	Simul
chr1	22979254	22988031	+	C1QB	C1QB	2	9.22E-1	Simul
chr1	23037331	23241818	+	EPHB2	EPHB2	5	9.35E-1	Simul
chr1	23345940	23410182	+	KDM1A	KDM1A	4	9.84E-1	Simul
chr1	23410515	23504301	-	LUZP1	LUZP1	6	9.93E-1	Simul
chr1	23516992	23521222	-	HTR1D	HTR1D	2	8.41E-1	Simul
chr1	23630263	23670829	-	HNRNPR	HNRNPR	6	9.97E-1	Simul
chr1	23685940	23695935	-	ZNF436	ZNF436	6	8.91E-1	Simul
chr1	23695489	23698332	+	C1orf213	C1orf213	6	6.2E-1	Simul
chr1	23707553	23751233	-	TCEA3	TCEA3	11	4E-1	Simul
chr1	23755055	23811061	-	ASAP3	ASAP3	14	4.69E-1	Simul
chr1	23832921	23857712	-	E2F2	E2F2	4	8.96E-1	Simul
chr1	23884408	23886285	-	ID3	ID3	4	8.76E-1	Simul
chr1	23907984	23967058	+	MDS2	MDS2	2	7.94E-1	Simul
chr1	24069644	24088549	+	TCEB3	TCEB3	1	5.67E-1	Simul
chr1	24104894	24114722	+	PITHD1	PITHD1	1	5.9E-1	Simul
chr1	24117459	24122029	+	LYPLA2	LYPLA2	1	5.98E-1	Simul
chr1	24122088	24127271	-	GALE	GALE	1	6.05E-1	Simul
chr1	24128374	24165110	-	HMGCL	HMGCL	1	6.05E-1	Simul
chr1	24382524	24438665	-	MYOM3	MYOM3	7	4.13E-1	Simul
chr1	24480646	24514449	-	IFNLR1	IFNLR1	5	3.83E-1	Simul
chr1	24645811	24690972	+	GRHL3	GRHL3	1	8.55E-1	Simul
chr1	24683488	24743424	-	STPG1	STPG1	3	6.89E-1	Simul
chr1	24742283	24799466	+	NIPAL3	NIPAL3	5	2.44E-1	Simul
chr1	24829386	24867530	+	RCAN3	RCAN3	2	1.16E-1	Simul
chr1	24958206	24999758	+	SRRM1	SRRM1	1	7.36E-1	Simul
chr1	25071847	25170815	+	CLIC4	CLIC4	5	9.43E-1	Simul
chr1	25226001	25291612	-	RUNX3	RUNX3	10	5.29E-1	Simul
chr1	25549169	25558993	-	SYF2	SYF2	11	1.42E-1	Simul
chr1	25568727	25664704	-	C1orf63	C1orf63	19	1.37E-1	Simul
chr1	25598883	25656936	+	RHD	RHD	10	6.12E-2	Simul
chr1	25664407	25688852	+	TMEM50A	TMEM50A	11	5.07E-2	Simul
chr1	25688739	25756683	-	RHCE	RHCE	45	4.02E-2	Simul
chr1	25757387	25826700	+	TMEM57	TMEM57	69	5.04E-2	Simul
chr1	25870070	25895377	+	LDLRAP1	LDLRAP1	45	1.3E-1	Simul
chr1	25943958	26112698	+	MAN1C1	MAN1C1	14	7.67E-1	Simul
chr1	26145130	26159432	+	MTFR1L	MTFR1L	1	9.79E-1	Simul
chr1	26158413	26185903	-	AUNIP	AUNIP	1	9.87E-1	Simul
chr1	26187700	26197744	-	PAQR7	PAQR7	1	9.84E-1	Simul
chr1	26210671	26233482	-	STMN1	STMN1	3	8.25E-1	Simul
chr1	26286257	26324648	-	PAFAH2	PAFAH2	4	2.09E-2	Simul
chr1	26346374	26362955	+	EXTL1	EXTL1	4	1.9E-2	Simul
chr1	26363742	26372624	-	SLC30A2	SLC30A2	3	5.18E-2	Simul
chr1	26377794	26394927	-	TRIM63	TRIM63	5	4.1E-1	Simul
chr1	26437663	26452034	+	PDIK1L	PDIK1L	4	4.08E-1	Simul
chr1	26485510	26489119	+	FAM110D	FAM110D	4	1.64E-1	Simul
chr1	26496361	26498551	+	ZNF593	ZNF593	2	1.2E-1	Simul
chr1	26503893	26516377	+	CNKSR1	CNKSR1	3	1.67E-1	Simul
chr1	26517051	26529459	+	CATSPER4	CATSPER4	3	1.77E-1	Simul
chr1	26560690	26605299	+	CEP85	CEP85	2	1.24E-1	Simul
chr1	26605666	26608007	+	SH3BGRL3	SH3BGRL3	1	6.12E-1	Simul
chr1	26607818	26644854	-	UBXN11	UBXN11	1	3.12E-2	Simul
chr1	26644447	26647014	+	CD52	CD52	1	2.67E-2	Simul
chr1	26648349	26680621	-	AIM1L	AIM1L	3	8.26E-2	Simul
chr1	26688124	26701013	-	ZNF683	ZNF683	5	1.33E-1	Simul
chr1	26737268	26756213	+	LIN28A	LIN28A	4	1.77E-1	Simul
chr1	26758772	26797785	+	DHDDS	DHDDS	4	1.8E-1	Simul
chr1	26856251	26901521	+	RPS6KA1	RPS6KA1	5	6.54E-1	Simul
chr1	27022523	27108595	+	ARID1A	ARID1A	5	6.78E-1	Simul
chr1	27113962	27124889	+	PIGV	PIGV	3	8.11E-1	Simul
chr1	27153200	27184093	+	ZDHHC18	ZDHHC18	3	8.37E-1	Simul
chr1	27189632	27190947	+	SFN	SFN	3	8.34E-1	Simul
chr1	27202623	27216788	-	GPN2	GPN2	3	8.14E-1	Simul
chr1	27216978	27226957	-	GPATCH3	GPATCH3	2	7.01E-1	Simul
chr1	27226728	27273353	+	NUDC	NUDC	4	7.18E-1	Simul
chr1	27237979	27240457	-	NR0B2	NR0B2	2	7.65E-1	Simul
chr1	27276052	27286897	-	C1orf172	C1orf172	3	5.59E-1	Simul
chr1	27320197	27327389	+	TRNP1	TRNP1	2	4.03E-1	Simul
chr1	27331510	27339327	-	FAM46B	FAM46B	2	3.91E-1	Simul
chr1	27425305	27493472	-	SLC9A1	SLC9A1	1	6.77E-1	Simul
chr1	27561006	27635110	+	WDTC1	WDTC1	2	5.67E-1	Simul
chr1	27648650	27662891	+	TMEM222	TMEM222	1	7.37E-1	Simul
chr1	27668512	27680421	+	SYTL1	SYTL1	1	7.39E-1	Simul
chr1	27681674	27693383	-	MAP3K6	MAP3K6	1	7.47E-1	Simul
chr1	27695602	27701315	-	FCN3	FCN3	1	7.75E-1	Simul
chr1	27705665	27709870	-	CD164L2	CD164L2	2	9.25E-1	Simul
chr1	27719147	27722318	+	GPR3	GPR3	2	9.4E-1	Simul
chr1	27730729	27816669	-	WASF2	WASF2	2	9.4E-1	Simul
chr1	28052489	28089633	+	FAM76A	FAM76A	1	3.87E-1	Simul
chr1	28099693	28150963	+	STX12	STX12	1	4.15E-1	Simul
chr1	28157288	28178187	+	PPP1R8	PPP1R8	1	7.67E-1	Simul
chr1	28177084	28177255	-	AL109927.1	AL109927.1	1	7.7E-1	Simul
chr1	28199054	28213196	+	THEMIS2	THEMIS2	1	7.85E-1	Simul
chr1	28218034	28241257	-	RPA2	RPA2	1	7.59E-1	Simul
chr1	28261503	28285668	+	SMPDL3B	SMPDL3B	1	8.99E-1	Simul
chr1	28285972	28294607	+	XKR8	XKR8	1	9.03E-1	Simul
chr1	28296854	28415207	-	EYA3	EYA3	2	7.94E-1	Simul
chr1	28525966	28559536	-	DNAJC8	DNAJC8	2	8.87E-1	Simul
chr1	28562619	28573417	+	ATPIF1	ATPIF1	2	8.73E-1	Simul
chr1	28586037	28609002	+	SESN2	SESN2	4	9.8E-1	Simul
chr1	28655512	28662476	+	MED18	MED18	2	9.55E-1	Simul
chr1	28696113	28826881	+	PHACTR4	PHACTR4	2	9.35E-2	Simul
chr1	28832454	28865812	+	RCC1	RCC1	1	4.94E-2	Simul
chr1	28879596	28905051	+	TRNAU1AP	TRNAU1AP	1	4.51E-2	Simul
chr1	28915834	28969597	-	TAF12	TAF12	2	9.04E-2	Simul
chr1	28918711	28921955	+	RAB42	RAB42	1	4.89E-2	Simul
chr1	28995243	29045865	+	GMEB1	GMEB1	3	3.73E-2	Simul
chr1	29063132	29096287	+	YTHDF2	YTHDF2	4	5.27E-2	Simul
chr1	29138653	29190208	+	OPRD1	OPRD1	4	2.93E-1	Simul
chr1	29213602	29446553	+	EPB41	EPB41	5	3.53E-1	Simul
chr1	29445939	29450447	-	TMEM200B	TMEM200B	2	4.75E-1	Simul
chr1	29474254	29508499	-	SRSF4	SRSF4	4	8.01E-1	Simul
chr1	29519384	29557454	-	MECR	MECR	3	3.99E-1	Simul
chr1	29563027	29653325	+	PTPRU	PTPRU	4	5.63E-1	Simul
chr1	31184123	31196434	-	MATN1	MATN1	3	9.67E-2	Simul
chr1	31205315	31230667	-	LAPTM5	LAPTM5	4	1.17E-1	Simul
chr1	31342313	31381608	-	SDC3	SDC3	4	2.13E-2	Simul
chr1	31404352	31538838	-	PUM1	PUM1	4	2.31E-2	Simul
chr1	31652591	31712401	-	NKAIN1	NKAIN1	2	7.44E-1	Simul
chr1	31732416	31769662	-	SNRNP40	SNRNP40	2	7.51E-1	Simul
chr1	31769841	31837783	+	ZCCHC17	ZCCHC17	2	5.87E-1	Simul
chr1	31838471	31849697	-	FABP3	FABP3	1	4.39E-1	Simul
chr1	31882411	31907525	+	SERINC2	SERINC2	2	7E-1	Simul
chr1	32083286	32098119	+	HCRTR1	HCRTR1	1	5.47E-1	Simul
chr1	32095462	32110497	-	PEF1	PEF1	1	5.68E-1	Simul
chr1	32117847	32169920	-	COL16A1	COL16A1	2	8.63E-2	Simul
chr1	32192717	32230494	-	BAI2	BAI2	1	4.41E-2	Simul
chr1	32372021	32410457	-	PTP4A2	PTP4A2	1	4.92E-1	Simul
chr1	32479429	32526451	+	KHDRBS1	KHDRBS1	1	5.08E-1	Simul
chr1	32930669	32962287	+	ZBTB8B	ZBTB8B	1	4.68E-1	Simul
chr1	33005027	33071540	+	ZBTB8A	ZBTB8A	2	4.93E-1	Simul
chr1	33065772	33116504	-	ZBTB8OS	ZBTB8OS	1	2.94E-1	Simul
chr1	33546704	33586131	+	ADC	ADC	1	9.48E-1	Simul
chr1	33611002	33647660	-	TRIM62	TRIM62	1	9.38E-1	Simul
chr1	33789223	33896653	-	PHC2	PHC2	1	6.58E-1	Simul
chr1	33938245	33962107	+	ZSCAN20	ZSCAN20	2	8.09E-1	Simul
chr1	33979608	34631443	-	CSMD2	CSMD2	19	7.76E-1	Simul
chr1	34326075	34330392	+	HMGB4	HMGB4	3	2.82E-1	Simul
chr1	34632483	34684732	+	C1orf94	C1orf94	6	8.82E-1	Simul
chr1	35178337	35325417	-	SMIM12	SMIM12	11	1.32E-1	Simul
chr1	35220647	35224113	+	GJB5	GJB5	1	9.6E-1	Simul
chr1	35225341	35229325	+	GJB4	GJB4	1	9.61E-1	Simul
chr1	35246789	35251970	+	GJB3	GJB3	1	4.06E-1	Simul
chr1	35258598	35261348	+	GJA4	GJA4	3	8.01E-1	Simul
chr1	35331036	35395186	-	DLGAP3	DLGAP3	7	8.42E-2	Simul
chr1	35641978	35658749	-	SFPQ	SFPQ	1	5.82E-1	Simul
chr1	36273772	36323491	+	AGO4	AGO4	1	9.49E-1	Simul
chr1	36335408	36395211	+	AGO1	AGO1	1	9.35E-1	Simul
chr1	36396318	36538101	+	AGO3	AGO3	1	9.43E-1	Simul
chr1	36602172	36615098	-	TRAPPC3	TRAPPC3	1	1.02E-1	Simul
chr1	36621179	36646450	+	MAP7D1	MAP7D1	1	9.32E-2	Simul
chr1	36690016	36770958	+	THRAP3	THRAP3	2	4.28E-2	Simul
chr1	36771987	36790484	+	SH3D21	SH3D21	2	4.51E-2	Simul
chr1	36787631	36789755	-	EVA1B	EVA1B	2	4.5E-2	Simul
chr1	36805224	36851497	-	STK40	STK40	4	8.18E-2	Simul
