chromosome	start	end	strand	gene_id	gene_symbol	numSnps	pvalue	Status
chr1	1337287	1342693	-	MRPL20	MRPL20	8	2.29E-1	Simul
chr1	1353799	1357149	-	ANKRD65	ANKRD65	6	1.89E-1	Simul
chr1	1370240	1378262	+	VWA1	VWA1	4	1.7E-1	Simul
chr1	1385068	1405538	+	ATAD3C	ATAD3C	5	1.35E-1	Simul
chr1	1407142	1433228	+	ATAD3B	ATAD3B	15	2.85E-1	Simul
chr1	1447530	1470067	+	ATAD3A	ATAD3A	26	6.23E-1	Simul
chr1	1470553	1475833	-	TMEM240	TMEM240	26	6.51E-1	Simul
chr1	1477052	1510249	-	SSU72	SSU72	25	6.15E-1	Simul
chr1	1510354	1511373	+	AL645728.1	AL645728.1	22	5.41E-1	Simul
chr1	1533391	1535476	-	C1orf233	C1orf233	13	4.54E-1	Simul
chr1	1550794	1565990	+	MIB2	MIB2	6	3.06E-1	Simul
chr1	1592938	1624167	-	SLC35E2B	SLC35E2B	2	2.2E-1	Simul
chr1	1634168	1655766	-	CDK11A	CDK11A	4	5.7E-2	Simul
chr1	1656276	1677431	-	SLC35E2	SLC35E2	10	9.4E-2	Simul
chr1	1682670	1711896	-	NADK	NADK	20	1.53E-1	Simul
chr1	1716728	1822495	-	GNB1	GNB1	51	8.12E-2	Simul
chr1	1846265	1848735	+	CALML6	CALML6	31	2.57E-1	Simul
chr1	1849028	1850712	-	TMEM52	TMEM52	30	2.49E-1	Simul
chr1	1853395	1935276	-	C1orf222	C1orf222	33	3.21E-1	Simul
chr1	1950779	1962192	+	GABRD	GABRD	6	8.97E-1	Simul
chr1	1981908	2116834	+	PRKCZ	PRKCZ	81	5.9E-1	Simul
chr1	2115902	2144159	-	C1orf86	C1orf86	66	4.8E-1	Simul
chr1	2121236	2123179	+	AL590822.2	AL590822.2	47	4.19E-1	Simul
chr1	2160133	2241558	+	SKI	SKI	120	1.04E-1	Simul
chr1	2252691	2323146	-	MORN1	MORN1	132	1.55E-1	Simul
chr1	2323266	2336883	+	RER1	RER1	82	7.18E-1	Simul
chr1	2336235	2345236	-	PEX10	PEX10	69	7.56E-1	Simul
chr1	2357418	2436969	+	PLCH2	PLCH2	87	8.88E-2	Simul
chr1	2439971	2458039	-	PANK4	PANK4	58	2.45181673E-4	CONVERGED
chr1	2460183	2461684	-	HES5	HES5	44	1.07110721E-4	CONVERGED
chr1	2487077	2496821	+	TNFRSF14	TNFRSF14	51	2.98334131E-5	CONVERGED
chr1	2517929	2522908	+	FAM213B	FAM213B	45	1.06583698E-5	CONVERGED
chr1	2522077	2564481	-	MMEL1	MMEL1	45	7.48095969E-6	CONVERGED
chr1	2567414	2718286	-	TTC34	TTC34	57	2.05641526E-5	CONVERGED
chr1	2938045	2939465	+	ACTRT2	ACTRT2	83	8.99E-1	Simul
chr1	2985731	3355185	+	PRDM16	PRDM16	373	6.63E-1	Simul
chr1	3370989	3397677	+	ARHGEF16	ARHGEF16	59	7.3E-1	Simul
chr1	3406483	3528059	-	MEGF6	MEGF6	109	3.53E-1	Simul
chr1	3541565	3546691	+	TPRG1L	TPRG1L	57	2.45E-2	Simul
chr1	3547330	3569325	-	WRAP73	WRAP73	55	2.41E-2	Simul
chr1	3569083	3652765	+	TP73	TP73	99	3.13E-2	Simul
chr1	3668961	3688209	+	CCDC27	CCDC27	82	1.63E-1	Simul
chr1	3696783	3713068	-	LRRC47	LRRC47	133	1.26E-1	Simul
chr1	3728644	3773778	-	CEP104	CEP104	173	1.49E-1	Simul
chr1	3773844	3801993	+	DFFB	DFFB	131	1.1E-1	Simul
chr1	3805688	3816857	-	C1orf174	C1orf174	74	8.65E-2	Simul
chr1	4714791	4852594	+	AJAP1	AJAP1	336	1.59E-1	Simul
chr1	5922870	6052533	-	NPHP4	NPHP4	232	8.03E-1	Simul
chr1	6051525	6161253	+	KCNAB2	KCNAB2	136	5.6E-1	Simul
chr1	6161852	6240183	-	CHD5	CHD5	84	5.04E-1	Simul
chr1	6241328	6269449	-	RPL22	RPL22	50	8.71E-1	Simul
chr1	6265534	6281359	+	RNF207	RNF207	31	8.13E-1	Simul
chr1	6281252	6296032	-	ICMT	ICMT	29	7.9E-1	Simul
chr1	6304251	6305638	+	HES3	HES3	27	7.18E-1	Simul
chr1	6307405	6321035	-	GPR153	GPR153	34	7.9E-1	Simul
chr1	6324328	6454451	-	ACOT7	ACOT7	65	8.54E-1	Simul
chr1	6472477	6484730	-	HES2	HES2	24	7.24E-1	Simul
chr1	6484847	6521430	+	ESPN	ESPN	38	8.79E-1	Simul
chr1	6521210	6526255	-	TNFRSF25	TNFRSF25	29	8.47E-1	Simul
chr1	6526151	6580121	-	PLEKHG5	PLEKHG5	64	9.17E-1	Simul
chr1	6581406	6614595	-	NOL9	NOL9	69	9.42E-1	Simul
chr1	6615240	6639817	+	TAS1R1	TAS1R1	68	8.11E-1	Simul
chr1	6640060	6649340	+	ZBTB48	ZBTB48	51	6.79E-1	Simul
chr1	6650783	6674667	-	KLHL21	KLHL21	56	6.53E-1	Simul
chr1	6673744	6684093	+	PHF13	PHF13	52	6.02E-1	Simul
chr1	6684925	6695646	+	THAP3	THAP3	54	5.94E-1	Simul
chr1	6694227	6761984	-	DNAJC11	DNAJC11	87	4.09E-1	Simul
chr1	6845383	7829766	+	CAMTA1	CAMTA1	1023	6.25E-1	Simul
chr1	7831328	7841492	+	VAMP3	VAMP3	83	4.13E-1	Simul
chr1	7844379	7905237	+	PER3	PER3	117	5E-1	Simul
chr1	7903142	7913572	-	UTS2	UTS2	81	5.78E-1	Simul
chr1	7979906	8000926	-	TNFRSF9	TNFRSF9	41	7.14E-1	Simul
chr1	8014350	8045565	+	PARK7	PARK7	41	6.05E-1	Simul
chr1	8064463	8086368	-	ERRFI1	ERRFI1	48	5.07E-1	Simul
chr1	8377885	8404227	+	SLC45A1	SLC45A1	71	7.78E-1	Simul
chr1	8412456	8877702	-	RERE	RERE	306	7.45E-1	Simul
chr1	8921060	8939308	-	ENO1	ENO1	72	1.92E-1	Simul
chr1	9005925	9035151	+	CA6	CA6	121	4.85E-1	Simul
chr1	9063358	9086404	-	SLC2A7	SLC2A7	93	7.58E-1	Simul
chr1	9095165	9148537	-	SLC2A5	SLC2A5	114	7.17E-1	Simul
chr1	9160363	9189229	-	GPR157	GPR157	86	8.69E-1	Simul
chr1	9294833	9331396	+	H6PD	H6PD	81	8.62E-1	Simul
chr1	9352938	9429591	+	SPSB1	SPSB1	119	8.51E-1	Simul
chr1	9599540	9645237	+	SLC25A33	SLC25A33	39	1.81E-1	Simul
chr1	9648931	9674935	+	TMEM201	TMEM201	38	1.56E-1	Simul
chr1	9711789	9789172	+	PIK3CD	PIK3CD	49	1.42E-1	Simul
chr1	9712667	9714644	-	C1orf200	C1orf200	35	1E-1	Simul
chr1	9789083	9884584	-	CLSTN1	CLSTN1	55	8.27E-2	Simul
chr1	9908333	9970394	-	CTNNBIP1	CTNNBIP1	52	6.43E-2	Simul
chr1	9982172	10003465	-	LZIC	LZIC	30	6.55E-1	Simul
chr1	10003485	10045559	+	NMNAT1	NMNAT1	32	6.64E-1	Simul
chr1	10057263	10076078	+	RBP7	RBP7	20	7.07E-1	Simul
chr1	10092889	10241297	+	UBE4B	UBE4B	54	8.93E-1	Simul
chr1	10270862	10441661	+	KIF1B	KIF1B	142	8.29E-1	Simul
chr1	10458648	10480201	+	PGD	PGD	58	7.23E-1	Simul
chr1	10490158	10512210	+	APITD1-CORT	APITD1-CORT	65	8.13E-1	Simul
chr1	10509775	10511959	+	CORT	CORT	53	7.78E-1	Simul
chr1	10516578	10532583	-	DFFA	DFFA	79	5.59E-1	Simul
chr1	10532344	10690815	+	PEX14	PEX14	186	3.54E-2	Simul
chr1	10696660	10856707	-	CASZ1	CASZ1	139	6.52E-2	Simul
chr1	11006527	11042094	-	C1orf127	C1orf127	106	4.95E-1	Simul
chr1	11072413	11085796	+	TARDBP	TARDBP	61	3.61E-1	Simul
chr1	11086579	11107290	-	MASP2	MASP2	54	2.88E-1	Simul
chr1	11114640	11120081	-	SRM	SRM	38	1.46E-1	Simul
chr1	11126674	11159938	-	EXOSC10	EXOSC10	42	8.22E-2	Simul
chr1	11166591	11322564	-	MTOR	MTOR	62	8.23E-2	Simul
chr1	11249397	11256038	+	ANGPTL7	ANGPTL7	30	4.39E-2	Simul
chr1	11333262	11356106	+	UBIAD1	UBIAD1	38	1.4E-1	Simul
chr1	11539222	11597641	+	PTCHD2	PTCHD2	109	7.03E-1	Simul
chr1	11708423	11715842	-	FBXO2	FBXO2	53	8.97E-1	Simul
chr1	11714431	11723384	+	FBXO44	FBXO44	54	9.2E-1	Simul
chr1	11724180	11734411	+	FBXO6	FBXO6	58	8.14E-1	Simul
chr1	11734536	11751707	-	MAD2L2	MAD2L2	60	8.4E-1	Simul
chr1	11751785	11785914	+	DRAXIN	DRAXIN	76	8.91E-1	Simul
chr1	11796140	11814859	+	AGTRAP	AGTRAP	100	7.61E-1	Simul
chr1	11821843	11849642	+	C1orf167	C1orf167	126	2.74E-1	Simul
chr1	11845779	11866977	-	MTHFR	MTHFR	137	2.25E-1	Simul
chr1	11866206	11903201	+	CLCN6	CLCN6	147	2.04E-1	Simul
chr1	11905765	11908402	-	NPPA	NPPA	115	1.91E-1	Simul
chr1	11917520	11918988	-	NPPB	NPPB	106	1.97E-1	Simul
chr1	11979647	11986485	-	KIAA2013	KIAA2013	71	8.1E-2	Simul
chr1	11994261	12035595	+	PLOD1	PLOD1	77	4.05E-2	Simul
chr1	12040237	12073571	+	MFN2	MFN2	55	3.8E-2	Simul
chr1	12079522	12092102	+	MIIP	MIIP	39	2.98E-2	Simul
chr1	12123433	12204264	+	TNFRSF8	TNFRSF8	101	4.48E-1	Simul
chr1	12227059	12269285	+	TNFRSF1B	TNFRSF1B	74	4.55E-1	Simul
chr1	12290123	12572099	+	VPS13D	VPS13D	120	1.88E-1	Simul
chr1	12627938	12677737	-	DHRS3	DHRS3	107	1.94E-1	Simul
chr1	12704565	12727097	+	AADACL4	AADACL4	77	6.12E-1	Simul
chr1	12776117	12788726	+	AADACL3	AADACL3	105	8.48E-1	Simul
chr1	12806162	12823847	+	C1orf158	C1orf158	103	8.63E-1	Simul
chr1	12834983	12838049	+	PRAMEF12	PRAMEF12	83	8.29E-1	Simul
chr1	12851545	12856777	+	PRAMEF1	PRAMEF1	57	8.57E-1	Simul
chr1	12884467	12891264	-	PRAMEF11	PRAMEF11	22	7.35E-1	Simul
chr1	12907260	12908578	-	HNRNPCL1	HNRNPCL1	12	7.89E-1	Simul
chr1	12916940	12921764	+	PRAMEF2	PRAMEF2	9	9.83E-1	Simul
chr1	12939044	12946025	-	PRAMEF4	PRAMEF4	2	9.84E-1	Simul
chr1	13736906	13747803	+	PRAMEF20	PRAMEF20	30	8.91E-1	Simul
chr1	13801444	13840543	-	LRRC38	LRRC38	127	8.15E-1	Simul
chr1	13909959	13944452	+	PDPN	PDPN	146	1.45E-1	Simul
chr1	14026692	14151574	+	PRDM2	PRDM2	169	1.32E-1	Simul
chr1	14925199	15444539	+	KAZN	KAZN	525	6.26E-1	Simul
chr1	15479027	15546976	+	TMEM51	TMEM51	232	3.75E-1	Simul
chr1	15490839	15497813	-	C1orf195	C1orf195	165	2.96E-1	Simul
chr1	15573767	15726779	+	FHAD1	FHAD1	220	6.82E-1	Simul
chr1	15736390	15756839	+	EFHD2	EFHD2	65	6.92E-1	Simul
chr1	15764934	15775737	+	CTRC	CTRC	70	3.02E-1	Simul
chr1	15783222	15798586	+	CELA2A	CELA2A	93	2.7E-1	Simul
chr1	15792403	15817895	+	CELA2B	CELA2B	111	2.61E-1	Simul
chr1	15817326	15853029	-	CASP9	CASP9	121	2.32E-1	Simul
chr1	15853307	15918874	+	DNAJC16	DNAJC16	129	1.39E-1	Simul
chr1	15898847	15911605	-	AGMAT	AGMAT	66	1.1E-1	Simul
chr1	15943994	15995539	+	DDI2	DDI2	80	1.15E-1	Simul
chr1	15986363	15988217	+	RSC1A1	RSC1A1	50	6.09E-1	Simul
chr1	16010826	16061264	+	PLEKHM2	PLEKHM2	78	6.27E-1	Simul
chr1	16062899	16067891	+	SLC25A34	SLC25A34	52	5.81E-1	Simul
chr1	16083101	16113089	+	FBLIM1	FBLIM1	70	6.48E-1	Simul
chr1	16174358	16266955	+	SPEN	SPEN	90	5.42E-1	Simul
chr1	16268363	16302627	-	ZBTB17	ZBTB17	88	6.93E-1	Simul
chr1	16330730	16335302	+	C1orf64	C1orf64	94	8.03E-1	Simul
chr1	16340522	16346089	-	HSPB7	HSPB7	101	8.19E-1	Simul
chr1	16345369	16360545	+	CLCNKA	CLCNKA	103	8.63E-1	Simul
chr1	16370271	16383803	+	CLCNKB	CLCNKB	85	8.58E-1	Simul
chr1	16384263	16400127	-	FAM131C	FAM131C	85	8.73E-1	Simul
chr1	16450831	16482582	-	EPHA2	EPHA2	71	6.21E-1	Simul
chr1	16524348	16539104	-	ARHGEF19	ARHGEF19	68	5.11E-1	Simul
chr1	16555367	16556038	-	C1orf134	C1orf134	56	5.8E-1	Simul
chr1	16558194	16563657	-	RSG1	RSG1	54	5.72E-1	Simul
chr1	16573333	16678949	-	FBXO42	FBXO42	84	5.77E-1	Simul
chr1	16679069	16724640	+	SZRD1	SZRD1	60	5.97E-1	Simul
chr1	16713611	16763919	-	SPATA21	SPATA21	70	1.5E-2	Simul
chr1	16767166	16786573	+	NECAP2	NECAP2	60	1.38E-2	Simul
chr1	16865560	16866070	+	FAM231B	FAM231B	14	7.31E-1	Simul
chr1	16888813	16940057	-	NBPF1	NBPF1	6	8.97E-1	Simul
chr1	16999497	17000007	+	FAM231A	FAM231A	6	2.52E-2	Simul
chr1	17060446	17060956	-	FAM231C	FAM231C	2	2.24E-1	Simul
chr1	17066767	17299474	+	CROCC	CROCC	40	7.19E-3	Simul
chr1	17300996	17307330	-	MFAP2	MFAP2	33	6.5E-3	Simul
chr1	17312452	17338423	-	ATP13A2	ATP13A2	61	1.08E-2	Simul
chr1	17345216	17380665	-	SDHB	SDHB	118	1.19E-2	Simul
chr1	17393255	17445948	-	PADI2	PADI2	128	1.55E-2	Simul
chr1	17531620	17572500	+	PADI1	PADI1	191	6.12E-1	Simul
chr1	17575592	17610728	+	PADI3	PADI3	194	2.56E-1	Simul
chr1	17634689	17690499	+	PADI4	PADI4	210	5.75E-2	Simul
chr1	17733255	17766220	-	RCC2	RCC2	103	3.93E-2	Simul
chr1	17866329	18024369	+	ARHGEF10L	ARHGEF10L	162	1.21E-1	Simul
chr1	18081807	18153558	+	ACTL8	ACTL8	139	6.36E-1	Simul
chr1	18434239	18704977	+	IGSF21	IGSF21	446	1.92E-2	Simul
chr1	18807423	18812478	+	KLHDC7A	KLHDC7A	148	9.16E-1	Simul
chr1	18957499	19075360	+	PAX7	PAX7	201	1.99E-1	Simul
chr1	19197925	19229275	-	ALDH4A1	ALDH4A1	77	6.67E-1	Simul
chr1	19230774	19283180	-	IFFO2	IFFO2	75	5.57E-1	Simul
chr1	19400999	19536770	-	UBR4	UBR4	167	9.37E-1	Simul
chr1	19542157	19578046	-	EMC1	EMC1	87	9.26E-1	Simul
chr1	19578032	19586622	+	MRTO4	MRTO4	70	9.65E-1	Simul
chr1	19592475	19600688	-	AKR7L	AKR7L	70	9.88E-1	Simul
chr1	19609051	19615744	-	AKR7A3	AKR7A3	69	9.83E-1	Simul
chr1	19630458	19638640	-	AKR7A2	AKR7A2	84	9.87E-1	Simul
chr1	19638819	19655794	+	PQLC2	PQLC2	85	9.94E-1	Simul
chr1	19665266	19812066	-	CAPZB	CAPZB	238	8.95E-1	Simul
chr1	19923472	19984549	+	MINOS1-NBL1	MINOS1-NBL1	102	8.35E-1	Simul
chr1	19923476	19956314	+	MINOS1	MINOS1	70	8.39E-1	Simul
chr1	19967047	19984945	+	NBL1	NBL1	76	8.34E-1	Simul
chr1	19991779	20006055	+	HTR6	HTR6	79	1.48E-1	Simul
chr1	20008705	20126438	-	TMCO4	TMCO4	162	3.06E-1	Simul
chr1	20140522	20141771	-	RNF186	RNF186	92	1.62E-1	Simul
chr1	20209005	20239438	+	OTUD3	OTUD3	115	1.1E-1	Simul
chr1	20246501	20250110	-	PLA2G2E	PLA2G2E	89	1.13E-1	Simul
chr1	20301924	20306932	-	PLA2G2A	PLA2G2A	71	9.71E-2	Simul
chr1	20354671	20417683	+	PLA2G5	PLA2G5	131	8.69E-1	Simul
chr1	20438431	20446050	-	PLA2G2D	PLA2G2D	110	9.03E-1	Simul
chr1	20465818	20476879	+	PLA2G2F	PLA2G2F	85	7.36E-1	Simul
chr1	20487745	20503917	-	PLA2G2C	PLA2G2C	75	6.71E-1	Simul
chr1	20512577	20522541	+	UBXN10	UBXN10	84	6.45E-1	Simul
chr1	20617411	20681387	+	VWA5B1	VWA5B1	254	3.93E-1	Simul
chr1	20808883	20812713	-	CAMK2N1	CAMK2N1	82	8.47E-1	Simul
chr1	20825942	20834654	-	MUL1	MUL1	92	6.47E-1	Simul
chr1	20878931	20881512	+	FAM43B	FAM43B	106	6.39E-1	Simul
chr1	20915440	20945401	+	CDA	CDA	143	7.17E-1	Simul
chr1	20959947	20978004	+	PINK1	PINK1	123	6.95E-1	Simul
chr1	20978269	20988000	-	DDOST	DDOST	113	6.85E-1	Simul
chr1	20990506	21044510	-	KIF17	KIF17	137	7.3E-1	Simul
chr1	21046224	21059330	-	SH2D5	SH2D5	86	6.34E-1	Simul
chr1	21069153	21113816	-	HP1BP3	HP1BP3	82	3.8E-1	Simul
chr1	21132962	21503377	-	EIF4G3	EIF4G3	169	6.24E-2	Simul
chr1	21543739	21671997	-	ECE1	ECE1	159	6.24E-2	Simul
chr1	21766620	21811498	+	NBPF3	NBPF3	71	3.96E-1	Simul
chr1	21835857	21904905	+	ALPL	ALPL	165	7.91E-1	Simul
chr1	21922707	21995801	-	RAP1GAP	RAP1GAP	172	9.17E-1	Simul
chr1	22004790	22110099	-	USP48	USP48	151	9.45E-1	Simul
chr1	22138757	22151714	+	LDLRAD2	LDLRAD2	61	8.84E-1	Simul
chr1	22148737	22263790	-	HSPG2	HSPG2	135	2.92E-2	Simul
chr1	22303513	22325135	+	CELA3B	CELA3B	74	1.51E-2	Simul
chr1	22328148	22339032	+	CELA3A	CELA3A	63	1.5E-2	Simul
chr1	22379119	22419437	+	CDC42	CDC42	86	6.33E-1	Simul
chr1	22443797	22470462	-	WNT4	WNT4	135	4.19E-1	Simul
chr1	22778343	22857650	+	ZBTB40	ZBTB40	101	3.85E-1	Simul
chr1	22890056	22930087	+	EPHA8	EPHA8	102	7.86E-1	Simul
chr1	22962998	22966101	+	C1QA	C1QA	100	3.95E-2	Simul
chr1	22970122	22974603	+	C1QC	C1QC	99	3.47E-2	Simul
chr1	22979254	22988031	+	C1QB	C1QB	93	3.26E-2	Simul
chr1	23037331	23241818	+	EPHB2	EPHB2	222	8.03E-2	Simul
chr1	23345940	23410182	+	KDM1A	KDM1A	55	7.07E-1	Simul
chr1	23410515	23504301	-	LUZP1	LUZP1	85	5.9E-1	Simul
chr1	23516992	23521222	-	HTR1D	HTR1D	50	1.4E-1	Simul
chr1	23630263	23670829	-	HNRNPR	HNRNPR	71	5.58E-1	Simul
chr1	23685940	23695935	-	ZNF436	ZNF436	60	5.14E-1	Simul
chr1	23695489	23698332	+	C1orf213	C1orf213	58	5.48E-1	Simul
chr1	23707553	23751233	-	TCEA3	TCEA3	87	5.82E-1	Simul
chr1	23755055	23811061	-	ASAP3	ASAP3	80	6.63E-1	Simul
chr1	23832921	23857712	-	E2F2	E2F2	57	9.1E-1	Simul
chr1	23884408	23886285	-	ID3	ID3	51	9.32E-1	Simul
chr1	23907984	23967058	+	MDS2	MDS2	95	7.78E-1	Simul
chr1	24018268	24022915	+	RPL11	RPL11	53	4.7E-1	Simul
chr1	24069644	24088549	+	TCEB3	TCEB3	35	9.25E-1	Simul
chr1	24104894	24114722	+	PITHD1	PITHD1	27	8.88E-1	Simul
chr1	24117459	24122029	+	LYPLA2	LYPLA2	27	8.66E-1	Simul
chr1	24122088	24127271	-	GALE	GALE	28	8.66E-1	Simul
chr1	24128374	24165110	-	HMGCL	HMGCL	33	9.21E-1	Simul
chr1	24171566	24194784	-	FUCA1	FUCA1	29	9.27E-1	Simul
chr1	24197015	24285549	-	CNR2	CNR2	22	8.59E-1	Simul
chr1	24382524	24438665	-	MYOM3	MYOM3	145	6.16E-1	Simul
chr1	24480646	24514449	-	IFNLR1	IFNLR1	109	6.57E-1	Simul
chr1	24645811	24690972	+	GRHL3	GRHL3	134	1.31E-1	Simul
chr1	24683488	24743424	-	STPG1	STPG1	137	1.05E-1	Simul
chr1	24742283	24799466	+	NIPAL3	NIPAL3	116	4.03E-1	Simul
chr1	24829386	24867530	+	RCAN3	RCAN3	78	5.01E-1	Simul
chr1	24882601	24935819	+	NCMAP	NCMAP	73	5.45E-1	Simul
chr1	24958206	24999758	+	SRRM1	SRRM1	51	2.59E-1	Simul
chr1	25071847	25170815	+	CLIC4	CLIC4	109	3.16E-1	Simul
chr1	25226001	25291612	-	RUNX3	RUNX3	200	7.59E-1	Simul
chr1	25549169	25558993	-	SYF2	SYF2	10	4.35E-2	Simul
chr1	25568727	25664704	-	C1orf63	C1orf63	14	5.52E-2	Simul
chr1	25598883	25656936	+	RHD	RHD	6	4.09E-1	Simul
chr1	25664407	25688852	+	TMEM50A	TMEM50A	7	4.18E-1	Simul
chr1	25688739	25756683	-	RHCE	RHCE	14	1.64E-1	Simul
chr1	25757387	25826700	+	TMEM57	TMEM57	10	1.21E-1	Simul
chr1	25870070	25895377	+	LDLRAP1	LDLRAP1	25	7.99E-1	Simul
chr1	25943958	26112698	+	MAN1C1	MAN1C1	116	5.83E-1	Simul
chr1	26126666	26144713	+	SEPN1	SEPN1	71	3.9E-1	Simul
chr1	26145130	26159432	+	MTFR1L	MTFR1L	61	3.46E-1	Simul
chr1	26158413	26185903	-	AUNIP	AUNIP	64	2.96E-1	Simul
chr1	26187700	26197744	-	PAQR7	PAQR7	46	3.15E-1	Simul
chr1	26210671	26233482	-	STMN1	STMN1	65	3.54E-1	Simul
chr1	26286257	26324648	-	PAFAH2	PAFAH2	97	4.65E-1	Simul
chr1	26346374	26362955	+	EXTL1	EXTL1	89	5.83E-1	Simul
chr1	26363742	26372624	-	SLC30A2	SLC30A2	74	5.33E-1	Simul
chr1	26377794	26394927	-	TRIM63	TRIM63	70	5.12E-1	Simul
chr1	26437663	26452034	+	PDIK1L	PDIK1L	66	2.39E-1	Simul
chr1	26485510	26489119	+	FAM110D	FAM110D	84	3.18E-1	Simul
chr1	26496361	26498551	+	ZNF593	ZNF593	89	3.65E-1	Simul
chr1	26503893	26516377	+	CNKSR1	CNKSR1	107	3.53E-1	Simul
chr1	26517051	26529459	+	CATSPER4	CATSPER4	121	3.8E-1	Simul
chr1	26560690	26605299	+	CEP85	CEP85	181	4.8E-1	Simul
chr1	26605666	26608007	+	SH3BGRL3	SH3BGRL3	134	3.68E-1	Simul
chr1	26607818	26644854	-	UBXN11	UBXN11	168	4.48E-1	Simul
chr1	26644447	26647014	+	CD52	CD52	130	4.09E-1	Simul
chr1	26648349	26680621	-	AIM1L	AIM1L	147	5.44E-1	Simul
chr1	26688124	26701013	-	ZNF683	ZNF683	110	5.8E-1	Simul
chr1	26737268	26756213	+	LIN28A	LIN28A	86	8.12E-1	Simul
chr1	26758772	26797785	+	DHDDS	DHDDS	74	7.61E-1	Simul
chr1	26798940	26802463	+	HMGN2	HMGN2	44	8.02E-1	Simul
chr1	26856251	26901521	+	RPS6KA1	RPS6KA1	51	6.69E-1	Simul
chr1	27022523	27108595	+	ARID1A	ARID1A	26	7.66E-1	Simul
chr1	27113962	27124889	+	PIGV	PIGV	14	4.93E-2	Simul
chr1	27153200	27184093	+	ZDHHC18	ZDHHC18	21	7.09E-2	Simul
chr1	27189632	27190947	+	SFN	SFN	25	7.8E-2	Simul
chr1	27202623	27216788	-	GPN2	GPN2	31	7.9E-2	Simul
chr1	27216978	27226957	-	GPATCH3	GPATCH3	29	7.02E-2	Simul
chr1	27226728	27273353	+	NUDC	NUDC	33	7.9E-2	Simul
chr1	27237979	27240457	-	NR0B2	NR0B2	23	6.88E-2	Simul
chr1	27276052	27286897	-	C1orf172	C1orf172	22	7.35E-2	Simul
chr1	27320197	27327389	+	TRNP1	TRNP1	14	6.83E-1	Simul
chr1	27331510	27339327	-	FAM46B	FAM46B	16	7.18E-1	Simul
chr1	27425305	27493472	-	SLC9A1	SLC9A1	53	8.52E-1	Simul
chr1	27561006	27635110	+	WDTC1	WDTC1	37	8.71E-1	Simul
chr1	27648650	27662891	+	TMEM222	TMEM222	28	8.52E-1	Simul
chr1	27668512	27680421	+	SYTL1	SYTL1	30	8.73E-1	Simul
chr1	27681674	27693383	-	MAP3K6	MAP3K6	30	9.84E-1	Simul
chr1	27695602	27701315	-	FCN3	FCN3	32	9.78E-1	Simul
chr1	27705665	27709870	-	CD164L2	CD164L2	35	9.84E-1	Simul
chr1	27719147	27722318	+	GPR3	GPR3	33	9.74E-1	Simul
chr1	27730729	27816669	-	WASF2	WASF2	52	9.57E-1	Simul
chr1	27860545	27930942	-	AHDC1	AHDC1	19	1.66E-1	Simul
chr1	27938574	27961788	-	FGR	FGR	10	1.65E-1	Simul
chr1	27992571	27998729	-	IFI6	IFI6	8	1.5E-1	Simul
chr1	28052489	28089633	+	FAM76A	FAM76A	4	1.71E-1	Simul
chr1	28099693	28150963	+	STX12	STX12	5	2.06E-1	Simul
